epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6474,1.18349,3.96363,0.01557,0.74561,0.23617,0.19198,0.14323,0.88618,3.60267,0.01154,0.000328042,0.000328042,0.0675238
2,99.8621,1.09006,1.93011,0.01276,0.55885,0.53202,0.61391,0.46776,0.86173,1.38284,0.01165,0.000659582,0.000659582,0.034522
3,136.142,0.92989,1.44945,0.01167,0.51841,0.75123,0.6081,0.4959,0.71464,1.1231,0.00969,0.000983949,0.000983949,0.00151305
4,172.254,0.92164,1.31072,0.01146,0.72543,0.6423,0.72955,0.56624,0.76719,1.43157,0.01081,0.000975773,0.000975773,0.000975773
5,204.521,0.77973,1.27482,0.00947,0.69467,0.79497,0.80687,0.66691,0.63797,0.86503,0.00865,0.000957205,0.000957205,0.000957205
6,245.009,0.87326,1.17637,0.01139,0.68765,0.75412,0.79565,0.65522,0.62292,0.99184,0.00891,0.000933683,0.000933683,0.000933683
7,276.95,0.83656,1.05344,0.01034,0.75461,0.78108,0.8458,0.63834,0.80399,1.14924,0.01062,0.000905463,0.000905463,0.000905463
8,309.06,0.86589,1.14085,0.00985,0.78828,0.79339,0.87182,0.71085,0.66563,0.74137,0.00931,0.000872857,0.000872857,0.000872857
9,340.507,0.85122,0.93274,0.01042,0.79638,0.78226,0.86953,0.68545,0.78522,0.83162,0.01139,0.00083622,0.00083622,0.00083622
10,372.228,0.87665,0.9032,0.01031,0.90094,0.75858,0.89986,0.74647,0.63601,0.67663,0.00857,0.000795954,0.000795954,0.000795954
11,404.321,0.84404,0.85897,0.01023,0.76357,0.82827,0.8605,0.65413,0.87841,0.77655,0.01262,0.0007525,0.0007525,0.0007525
12,436.634,0.79233,0.82882,0.01046,0.77269,0.89803,0.92006,0.70511,0.72514,0.71467,0.01124,0.000706335,0.000706335,0.000706335
13,468.449,0.79439,0.79676,0.01018,0.79519,0.88107,0.91202,0.72049,0.75859,0.65382,0.01083,0.000657963,0.000657963,0.000657963
14,501.16,0.71062,0.74792,0.00888,0.80056,0.85803,0.89908,0.73788,0.63905,0.569,0.00832,0.000607916,0.000607916,0.000607916
15,533.618,0.7576,0.72684,0.00939,0.90556,0.78426,0.91198,0.74342,0.71866,0.70852,0.00959,0.000556742,0.000556742,0.000556742
16,566.423,0.687,0.71603,0.00811,0.84679,0.86803,0.93434,0.75575,0.70123,0.53521,0.00969,0.000505,0.000505,0.000505
17,597.415,0.71421,0.69928,0.0082,0.92472,0.81424,0.93722,0.76723,0.63231,0.62004,0.00897,0.000453258,0.000453258,0.000453258
18,629.239,0.68594,0.65673,0.00871,0.92364,0.8447,0.93715,0.78372,0.58801,0.54328,0.00744,0.000402084,0.000402084,0.000402084
19,661.963,0.69476,0.57915,0.00877,0.83998,0.8729,0.92881,0.74601,0.69769,0.54195,0.00944,0.000352037,0.000352037,0.000352037
20,694.033,0.68267,0.62714,0.00765,0.87073,0.8847,0.93244,0.77695,0.6212,0.56003,0.00834,0.000303665,0.000303665,0.000303665
21,725.888,0.59645,0.46047,0.00811,0.86357,0.8847,0.92893,0.78287,0.57278,0.54309,0.00769,0.0002575,0.0002575,0.0002575
22,757.785,0.60375,0.44691,0.00835,0.86482,0.8647,0.92618,0.73411,0.74699,0.57288,0.01068,0.000214046,0.000214046,0.000214046
23,789.481,0.54436,0.42499,0.00774,0.87541,0.8447,0.91119,0.75617,0.59374,0.57957,0.00832,0.00017378,0.00017378,0.00017378
24,821.136,0.57828,0.42299,0.00805,0.83871,0.88871,0.92023,0.75567,0.63239,0.58445,0.00883,0.000137143,0.000137143,0.000137143
25,852.5,0.53093,0.40983,0.00724,0.83968,0.88984,0.92366,0.74169,0.70634,0.59195,0.00984,0.000104537,0.000104537,0.000104537
26,883.641,0.55033,0.4249,0.0071,0.85206,0.90838,0.92989,0.77801,0.59757,0.54827,0.00787,7.63174e-05,7.63174e-05,7.63174e-05
27,915.435,0.53721,0.3897,0.00732,0.87408,0.88574,0.92972,0.77481,0.59973,0.5424,0.00794,5.2795e-05,5.2795e-05,5.2795e-05
28,947.452,0.50947,0.36362,0.00708,0.88729,0.86317,0.92691,0.76442,0.62988,0.54834,0.00856,3.4227e-05,3.4227e-05,3.4227e-05
